episode,return,steps
577,-42.0,54
578,-32.0,44
579,-141.0,99
580,-6.0,18
581,-220.0,187
582,14.0,7
583,-15.0,36
584,-42.0,45
585,-64.0,58
586,-33.0,45
587,-127.0,94
588,-23.0,44
589,-23.0,44
590,-94.0,79
591,-76.0,79
592,-18.0,30
593,-200.0,131
594,-18.0,30
595,-11.0,14
596,-208.0,166
597,-177.0,135
598,-45.0,48
599,-9.0,21
600,-75.0,78
601,9.0,12
602,11.0,10
603,-38.0,50
604,-93.0,87
605,2.0,19
606,8.0,13
607,-79.0,73
608,7.0,14
609,-129.0,132
610,-44.0,56
611,9.0,12
612,-217.0,193
613,1.0,20
614,1.0,20
615,-17.0,20
616,-148.0,106
617,13.0,8
618,-54.0,66
619,-162.0,129
620,-119.0,77
621,-10.0,22
622,-45.0,48
623,8.0,13
624,-53.0,56
625,-73.0,76
626,-69.0,72
627,-42.0,54
628,-97.0,91
629,-113.0,116
630,-142.0,100
631,1.0,20
632,13.0,8
633,-128.0,122
634,-83.0,95
635,-51.0,45
636,-40.0,52
637,-5.0,17
638,9.0,12
639,-126.0,93
640,-9.0,12
641,12.0,9
642,-39.0,51
643,14.0,7
644,-190.0,139
645,1.0,11
646,-4.0,16
647,11.0,10
648,-13.0,34
649,6.0,15
650,-40.0,43
651,-11.0,23
652,-126.0,84
653,5.0,16
654,-60.0,63
655,-263.0,200
656,-91.0,85
657,-83.0,86
658,-91.0,85
659,-60.0,63
660,-86.0,80
661,-56.0,77
662,12.0,9
663,3.0,18
664,8.0,13
665,-137.0,95
666,-21.0,42
667,-33.0,45
668,-6.0,27
669,-58.0,70
670,6.0,15
671,7.0,14
672,-157.0,124
673,2.0,10
674,-78.0,72
675,-38.0,50
676,8.0,13
677,-14.0,35
678,-41.0,62
679,-12.0,24
680,10.0,11
681,0.0,21
682,-8.0,20
683,-13.0,34
684,-53.0,47
685,8.0,13
686,1.0,20
687,-110.0,77
688,-32.0,35
689,-50.0,62
690,12.0,9
691,6.0,15
692,-41.0,53
693,-42.0,54
694,0.0,12
695,-24.0,45
696,-197.0,146
697,-31.0,34
698,11.0,10
699,-39.0,51
700,10.0,11
701,-21.0,42
702,-25.0,46
703,2.0,10
704,9.0,12
705,-150.0,126
706,8.0,13
707,-188.0,146
708,2.0,10
709,-45.0,57
710,-15.0,27
711,-17.0,20
712,-15.0,27
713,-34.0,37
714,-150.0,162
715,-14.0,26
716,-13.0,34
717,-56.0,50
718,-13.0,25
719,-123.0,117
720,8.0,13
721,-24.0,36
722,4.0,8
723,-35.0,47
724,-74.0,68
725,-56.0,68
726,-108.0,93
727,-30.0,42
728,-122.0,107
729,3.0,18
730,10.0,11
731,-18.0,30
732,-36.0,48
733,12.0,9
734,11.0,10
735,-18.0,30
736,-101.0,86
737,-3.0,24
738,4.0,17
739,-52.0,64
740,-69.0,63
741,-2.0,14
742,-47.0,59
743,10.0,11
744,12.0,9
745,-9.0,12
746,-3.0,15
747,-25.0,37
748,5.0,16
749,1.0,20
750,-41.0,35
751,-103.0,88
752,11.0,10
753,-132.0,108
754,-34.0,37
755,12.0,9
756,12.0,9
757,-37.0,31
758,-8.0,20
759,2.0,19
760,-91.0,94
761,9.0,12
762,-153.0,120
763,7.0,14
764,-143.0,110
765,-4.0,25
766,-3.0,15
767,-57.0,69
768,7.0,14
769,-15.0,27
770,-95.0,62
771,7.0,14
772,-21.0,42
773,10.0,11
774,-65.0,68
775,-4.0,16
776,-39.0,51
777,-116.0,101
778,-4.0,25
779,-47.0,59
780,3.0,18
781,6.0,15
782,-25.0,46
