episode,return,steps
678,-47.0,50
679,-69.0,63
680,1.0,20
681,-8.0,20
682,-12.0,15
683,-30.0,24
684,-113.0,53
685,-12.0,15
686,-21.0,24
687,-60.0,54
688,-33.0,45
689,-201.0,141
690,-17.0,11
691,-40.0,52
692,-36.0,39
693,-11.0,32
694,7.0,14
695,-17.0,29
696,-28.0,49
697,-37.0,31
698,-11.0,14
699,3.0,18
700,-44.0,38
701,-180.0,120
702,7.0,14
703,2.0,10
704,-3.0,15
705,-81.0,66
706,8.0,13
707,-123.0,108
708,2.0,10
709,-249.0,135
710,-22.0,16
711,-18.0,30
712,-21.0,33
713,-30.0,33
714,-268.0,154
715,-99.0,75
716,-17.0,20
717,-4.0,25
718,-33.0,36
719,-214.0,154
720,-45.0,30
721,-25.0,37
722,-7.0,10
723,3.0,18
724,-129.0,96
725,-22.0,34
726,-257.0,170
727,-30.0,33
728,-82.0,67
729,0.0,21
730,-101.0,77
731,-67.0,52
732,-55.0,49
733,3.0,9
734,-10.0,13
735,-39.0,24
736,-39.0,42
737,-59.0,44
738,-1.0,13
739,-124.0,100
740,-54.0,30
741,-18.0,21
742,-153.0,84
743,8.0,13
744,2.0,10
745,11.0,10
746,2.0,19
747,-82.0,40
748,-28.0,31
749,7.0,14
750,-4.0,25
751,-247.0,169
752,-14.0,17
753,-46.0,49
754,-130.0,79
755,8.0,13
756,12.0,9
757,-51.0,45
758,-12.0,15
759,-10.0,31
760,-20.0,32
761,11.0,10
762,-74.0,50
763,-14.0,17
764,-102.0,78
765,7.0,14
766,-16.0,28
767,-211.0,151
768,5.0,16
769,-67.0,43
770,-88.0,82
771,-41.0,35
772,-3.0,24
773,-25.0,28
774,-55.0,49
775,7.0,14
776,-40.0,52
777,-12.0,24
778,-51.0,36
779,-66.0,51
780,-20.0,23
781,-19.0,40
782,-5.0,26
783,-42.0,45
784,-10.0,31
785,8.0,13
786,-62.0,47
787,-3.0,15
788,-11.0,32
789,2.0,10
790,3.0,9
791,9.0,12
792,-149.0,125
793,-15.0,27
794,-57.0,60
795,-109.0,76
796,-32.0,44
797,-13.0,25
798,-7.0,19
799,-66.0,60
800,10.0,11
801,9.0,12
802,-129.0,105
803,-75.0,69
804,-176.0,116
805,-150.0,90
806,-52.0,46
807,-129.0,96
808,-51.0,36
809,-36.0,30
810,-86.0,53
811,-58.0,34
812,-21.0,24
813,-47.0,41
814,-134.0,83
815,7.0,14
816,-16.0,37
817,-83.0,77
818,-50.0,53
819,-4.0,25
820,-9.0,21
821,-264.0,141
822,-14.0,17
823,-63.0,48
824,-9.0,21
825,-28.0,22
826,-17.0,29
827,-20.0,41
828,-4.0,16
829,-68.0,53
830,-93.0,78
831,1.0,11
832,-5.0,17
833,-202.0,88
834,1.0,20
835,-2.0,14
836,-45.0,48
837,8.0,13
838,-87.0,90
839,-19.0,13
840,-13.0,34
841,-51.0,36
842,-13.0,25
843,-2.0,14
844,-4.0,16
845,-34.0,37
846,-32.0,35
847,6.0,15
848,9.0,12
849,-27.0,30
850,-74.0,41
851,-10.0,13
852,-29.0,32
853,-86.0,62
854,7.0,14
855,-68.0,35
856,-68.0,80
857,-25.0,28
858,-72.0,48
859,15.0,6
860,-64.0,67
861,10.0,11
862,-83.0,68
863,-48.0,60
864,11.0,10
865,-33.0,27
866,-2.0,14
867,-3.0,15
868,4.0,17
869,-57.0,42
870,-128.0,77
871,1.0,11
872,-2.0,14
873,-55.0,40
874,2.0,19
875,-97.0,73
876,6.0,15
877,6.0,15
878,2.0,10
879,-49.0,43
880,-43.0,37
881,-4.0,25
882,-81.0,84
883,8.0,13
884,-7.0,28
885,-37.0,40
886,-36.0,39
887,8.0,13
888,-100.0,76
889,-172.0,121
890,-57.0,42
